Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/filter_sg_0_audio_ce,MyRtl_i/filter_sg_0_audio_out[19:0]
1121,1121,0,1,-122
1122,1122,0,1,-125
1123,1123,0,1,-129
1124,1124,0,1,-127
1125,1125,0,1,-133
1126,1126,0,1,-136
1127,1127,0,1,-135
1128,1128,0,1,-135
1129,1129,0,1,-136
1130,1130,0,1,-135
1131,1131,0,1,-136
1132,1132,0,1,-134
1133,1133,0,1,-129
1134,1134,0,1,-122
1135,1135,0,1,-117
1136,1136,0,1,-105
1137,1137,0,1,-98
1138,1138,0,1,-87
1139,1139,0,1,-76
1140,1140,0,1,-67
1141,1141,0,1,-59
1142,1142,0,1,-59
1143,1143,0,1,-46
1144,1144,0,1,-38
1145,1145,0,1,-35
1146,1146,0,1,-26
1147,1147,0,1,-12
1148,1148,0,1,-7
1149,1149,0,1,2
1150,1150,0,1,10
1151,1151,0,1,16
1152,1152,0,1,21
1153,1153,0,1,23
1154,1154,0,1,31
1155,1155,0,1,37
1156,1156,0,1,39
1157,1157,0,1,49
1158,1158,0,1,50
1159,1159,0,1,51
1160,1160,0,1,55
1161,1161,0,1,54
1162,1162,0,1,54
1163,1163,0,1,56
1164,1164,0,1,55
1165,1165,0,1,64
1166,1166,0,1,60
1167,1167,0,1,70
1168,1168,0,1,73
1169,1169,0,1,78
1170,1170,0,1,83
1171,1171,0,1,93
1172,1172,0,1,98
1173,1173,0,1,104
1174,1174,0,1,107
1175,1175,0,1,112
1176,1176,0,1,116
1177,1177,0,1,120
1178,1178,0,1,122
1179,1179,0,1,123
1180,1180,0,1,129
1181,1181,0,1,131
1182,1182,0,1,130
1183,1183,0,1,128
1184,1184,0,1,132
1185,1185,0,1,125
1186,1186,0,1,122
1187,1187,0,1,113
1188,1188,0,1,108
1189,1189,0,1,99
1190,1190,0,1,87
1191,1191,0,1,76
1192,1192,0,1,64
1193,1193,0,1,52
1194,1194,0,1,38
1195,1195,0,1,27
1196,1196,0,1,18
1197,1197,0,1,1
1198,1198,0,1,-14
1199,1199,0,1,-27
1200,1200,0,1,-40
1201,1201,0,1,-54
1202,1202,0,1,-66
1203,1203,0,1,-77
1204,1204,0,1,-89
1205,1205,0,1,-100
1206,1206,0,1,-107
1207,1207,0,1,-117
1208,1208,0,1,-116
1209,1209,0,1,-122
1210,1210,0,1,-130
1211,1211,0,1,-134
1212,1212,0,1,-133
1213,1213,0,1,-131
1214,1214,0,1,-136
1215,1215,0,1,-136
1216,1216,0,1,-142
1217,1217,0,1,-146
1218,1218,0,1,-140
1219,1219,0,1,-146
1220,1220,0,1,-142
1221,1221,0,1,-138
1222,1222,0,1,-133
1223,1223,0,1,-124
1224,1224,0,1,-118
1225,1225,0,1,-111
1226,1226,0,1,-100
1227,1227,0,1,-94
1228,1228,0,1,-85
1229,1229,0,1,-73
1230,1230,0,1,-66
1231,1231,0,1,-63
1232,1232,0,1,-53
1233,1233,0,1,-42
1234,1234,0,1,-34
1235,1235,0,1,-28
1236,1236,0,1,-17
1237,1237,0,1,-13
1238,1238,0,1,0
1239,1239,0,1,6
1240,1240,0,1,11
1241,1241,0,1,21
1242,1242,0,1,26
1243,1243,0,1,30
1244,1244,0,1,34
1245,1245,0,1,41
1246,1246,0,1,46
1247,1247,0,1,54
1248,1248,0,1,55
1249,1249,0,1,58
1250,1250,0,1,61
1251,1251,0,1,55
1252,1252,0,1,57
1253,1253,0,1,62
1254,1254,0,1,66
1255,1255,0,1,70
1256,1256,0,1,68
1257,1257,0,1,73
1258,1258,0,1,85
1259,1259,0,1,89
1260,1260,0,1,93
1261,1261,0,1,106
